district,area,price,rooms,metro_time,info_total_area,rent_jkh,rent_prepayment,rent_term,rent_living_conditions,floor_ratio,last_floor,year_built_interval
ЦАО,р-н Пресненский,470000,2,7.0,73.0,включена (счётчики включены),1 месяц,от года,можно с детьми,0.6833333333333333,0,1991-2025
ЦАО,р-н Пресненский,270000,3,13.0,68.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.5227272727272727,0,1991-2025
СЗАО,р-н Митино,30000,1,9.0,40.0,включена (счётчики включены),1 месяц,от года,"ни с детьми, ни с животными",0.3333333333333333,0,1991-2025
ЮАО,р-н Донской,75000,2,13.0,60.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.375,0,1945-1970
САО,р-н Беговой,29000,студия,7.0,12.0,включена (счётчики включены),1 месяц,от года,"ни с детьми, ни с животными",0.6111111111111112,0,1991-2025
ЦАО,р-н Басманный,550000,3,5.0,150.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.42857142857142855,0,1991-2025
ЗАО,р-н Фили-Давыдково,90000,1,5.0,43.0,включена (без счётчиков),1 месяц,от года,можно с детьми и животными,0.2916666666666667,0,1991-2025
СЗАО,р-н Митино,59900,студия,9.0,29.2,включена (счётчики включены),1 месяц,несколько месяцев,"ни с детьми, ни с животными",0.7916666666666666,0,1991-2025
СВАО,р-н Останкинский,35000,2,4.0,36.7,включена (счётчики включены),1 месяц,несколько месяцев,"ни с детьми, ни с животными",0.3333333333333333,0,1945-1970
ЮАО,р-н Даниловский,295000,1,11.0,60.7,включена (счётчики включены),1 месяц,от года,можно с детьми и животными,0.8571428571428571,0,1991-2025
ЦАО,р-н Таганский,95000,3,13.0,85.0,включена (без счётчиков),1 месяц,от года,можно с детьми и животными,0.17647058823529413,0,1991-2025
НАО (Новомосковский),Десеновское поселение,34000,студия,16.0,21.6,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.5555555555555556,0,1991-2025
ЮАО,р-н Даниловский,115000,2,9.0,47.0,включена (без счётчиков),1 месяц,от года,можно с детьми и животными,0.7,0,1991-2025
ЮАО,р-н Даниловский,400000,2,5.0,135.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",1.0,1,не попал
НАО (Новомосковский),№ 4 квартал,25000,студия,12.0,28.0,включена (счётчики включены),1 месяц,от года,"ни с детьми, ни с животными",0.7857142857142857,0,не попал
НАО (Новомосковский),Московский поселение,68000,1,6.0,42.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.6875,0,1991-2025
СЗАО,р-н Покровское-Стрешнево,190000,2,4.0,90.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.9230769230769231,0,1991-2025
ЮВАО,р-н Нижегородский,25000,1,12.0,33.0,включена (без счётчиков),1 месяц,несколько месяцев,"ни с детьми, ни с животными",0.42424242424242425,0,1991-2025
ЮАО,р-н Даниловский,70000,студия,14.0,31.0,включена (счётчики включены),1 месяц,от года,"ни с детьми, ни с животными",0.16666666666666666,0,1991-2025
ЮАО,р-н Даниловский,73000,студия,11.0,33.0,включена (счётчики включены),1 месяц,от года,"ни с детьми, ни с животными",0.3,0,1991-2025
ЮВАО,р-н Некрасовка,29999,1,5.0,27.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.05263157894736842,0,1991-2025
САО,р-н Хорошевский,350000,3,10.0,155.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.05263157894736842,0,1991-2025
ЗАО,р-н Очаково-Матвеевское,120000,3,12.0,57.0,включена (без счётчиков),2 месяца,от года,можно с детьми,0.90625,0,1991-2025
ЮЗАО,р-н Обручевский,105000,1,7.0,39.0,включена (счётчики включены),1 месяц,от года,"ни с детьми, ни с животными",0.38235294117647056,0,1991-2025
ЮАО,р-н Москворечье-Сабурово,34000,студия,16.0,14.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.2,0,1945-1970
НАО (Новомосковский),Коммунарка поселок,99000,3,6.0,57.0,включена (счётчики включены),1 месяц,от года,можно с детьми,0.625,0,не попал
ЮВАО,р-н Некрасовка,65000,2,4.0,55.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.9411764705882353,0,1991-2025
НАО (Новомосковский),ш. Рязановское,40000,1,6.0,35.0,включена (без счётчиков),1 месяц,от года,можно с детьми и животными,0.15384615384615385,0,1991-2025
ВАО,р-н Метрогородок,65000,1,6.0,28.6,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.2,0,не попал
САО,р-н Савеловский,25000,2,11.0,64.0,включена (без счётчиков),2 месяца,несколько месяцев,"ни с детьми, ни с животными",0.36,0,не попал
ЮАО,р-н Нагатино-Садовники,70000,1,6.0,32.0,включена (счётчики включены),1 месяц,от года,"ни с детьми, ни с животными",0.30303030303030304,0,не попал
ЮВАО,р-н Кузьминки,80000,2,6.0,68.0,включена (без счётчиков),1 месяц,от года,можно с детьми и животными,0.4444444444444444,0,не попал
СЗАО,р-н Митино,33000,студия,6.0,20.0,включена (счётчики включены),1 месяц,от года,"ни с детьми, ни с животными",0.08,0,не попал
НАО (Новомосковский),Десеновское поселение,82000,3,16.0,94.3,включена (без счётчиков),1 месяц,от года,можно с детьми,0.9411764705882353,0,1991-2025
НАО (Новомосковский),Молодцы деревня,26000,студия,8.0,20.0,включена (без счётчиков),1 месяц,от года,можно с животными,1.0,1,не попал
ЮВАО,р-н Рязанский,60000,1,10.0,36.5,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.28125,0,1991-2025
САО,р-н Бескудниковский,61000,2,13.0,55.8,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.5909090909090909,0,1991-2025
САО,р-н Головинский,110000,2,5.0,40.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.125,0,1991-2025
ВАО,р-н Гольяново,45000,2,5.0,44.6,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",1.0,1,не попал
СЗАО,р-н Северное Тушино,65000,1,4.0,50.0,включена (счётчики включены),1 месяц,от года,"ни с детьми, ни с животными",0.92,0,1991-2025
СЗАО,р-н Хорошево-Мневники,150000,2,17.0,46.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.5238095238095238,0,1991-2025
САО,р-н Хорошевский,95000,1,3.0,30.0,включена (без счётчиков),1 месяц,от года,можно с детьми и животными,0.75,0,не попал
ЗАО,р-н Кунцево,105000,1,4.0,53.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.6818181818181818,0,1991-2025
СВАО,р-н Алексеевский,145000,2,7.0,50.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.23809523809523808,0,1991-2025
ВАО,р-н Косино-Ухтомский,35000,1,12.0,40.2,включена (счётчики включены),1 месяц,от года,можно с детьми,0.3076923076923077,0,1991-2025
СЗАО,р-н Хорошево-Мневники,130000,2,11.0,50.0,включена (счётчики включены),1 месяц,от года,"ни с детьми, ни с животными",0.7777777777777778,0,1991-2025
САО,р-н Тимирязевский,120000,2,1.0,38.6,включена (без счётчиков),1 месяц,от года,можно с детьми,0.7241379310344828,0,не попал
ЮАО,р-н Донской,90000,студия,15.0,30.0,включена (счётчики включены),1 месяц,от года,"ни с детьми, ни с животными",0.16,0,не попал
НАО (Новомосковский),бул. Веласкеса,50000,1,7.0,40.0,включена (счётчики включены),1 месяц,от года,"ни с детьми, ни с животными",0.7692307692307693,0,1991-2025
ЮЗАО,р-н Зюзино,65000,1,8.0,39.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.4117647058823529,0,1991-2025
ЮАО,р-н Нагатинский затон,160000,3,6.0,63.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.4444444444444444,0,не попал
ЮВАО,р-н Некрасовка,40000,1,7.0,33.0,включена (без счётчиков),1 месяц,от года,можно с детьми и животными,0.29411764705882354,0,не попал
СВАО,р-н Северный,90000,2,5.0,44.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.4,0,1991-2025
ЮВАО,р-н Кузьминки,48000,1,5.0,34.9,включена (без счётчиков),1 месяц,от года,можно с детьми,0.2222222222222222,0,1945-1970
САО,р-н Беговой,400000,3,14.0,104.2,включена (счётчики включены),1 месяц,от года,"ни с детьми, ни с животными",0.55,0,1991-2025
ЮВАО,р-н Нижегородский,30000,2,12.0,58.0,включена (без счётчиков),1 месяц,несколько месяцев,можно с детьми и животными,0.52,0,не попал
ЦАО,р-н Пресненский,39000,студия,16.0,11.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.2,0,1945-1970
САО,р-н Головинский,100000,1,4.0,42.0,включена (без счётчиков),1 месяц,от года,можно с животными,0.5517241379310345,0,не попал
ЮВАО,р-н Нижегородский,49000,студия,12.0,26.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.696969696969697,0,не попал
ВАО,р-н Гольяново,77000,1,4.0,45.0,включена (без счётчиков),1 месяц,от года,можно с детьми,1.0,1,1991-2025
САО,р-н Хорошевский,170000,2,10.0,55.5,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.7272727272727273,0,не попал
НАО (Новомосковский),Рязановское поселение,35000,студия,7.0,29.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.6,0,1991-2025
ЮАО,р-н Царицыно,90000,3,15.0,70.0,включена (счётчики включены),1 месяц,несколько месяцев,можно с детьми,0.7777777777777778,0,1945-1970
ЗАО,р-н Можайский,45000,1,5.0,31.7,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.4,0,1945-1970
ЮЗАО,р-н Южное Бутово,26000,студия,4.0,12.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.07142857142857142,0,1991-2025
ЮАО,р-н Нагатинский затон,85000,2,7.0,37.0,включена (счётчики включены),1 месяц,от года,можно с детьми,0.5,0,1991-2025
ЮЗАО,р-н Ясенево,90000,1,4.0,54.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.6153846153846154,0,не попал
НАО (Новомосковский),Десеновское поселение,35000,студия,16.0,27.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.6666666666666666,0,1991-2025
САО,р-н Хорошевский,145000,2,10.0,46.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.8181818181818182,0,не попал
ЮВАО,р-н Нижегородский,95000,2,9.0,46.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.7241379310344828,0,не попал
ЮЗАО,р-н Черемушки,30000,2,21.0,50.9,включена (без счётчиков),1 месяц,несколько месяцев,"ни с детьми, ни с животными",0.2916666666666667,0,не попал
ЮВАО,р-н Кузьминки,44000,1,13.0,31.8,включена (без счётчиков),1 месяц,от года,можно с детьми и животными,0.2,0,1945-1970
