price,metro_time,info_total_area,floor_ratio,firt_floor,last_floor,district_ВАО,district_ЗАО,district_ЗелАО,district_НАО (Новомосковский),district_САО,district_СВАО,district_СЗАО,district_ТАО (Троицкий),district_ЦАО,district_ЮАО,district_ЮВАО,district_ЮЗАО,district_р-н Новая Москва,area_Внуково поселок,area_Внуковское поселение,area_Десеновское поселение,area_Завода Мосрентген поселок,area_Ивановское деревня,area_Кокошкино дп,area_Кокошкино поселение,area_Коммунарка поселок,area_Марушкинское поселение,area_Молодцы деревня,area_Московский,area_Московский поселение,area_Новомосковский административный округ,area_Новофедоровское поселение,area_Первомайское поселок,area_Подсобного хозяйства Воскресенское поселок,area_Родниковая ул.,area_Рязановское поселение,area_Скандинавия жилой комплекс,area_Сосенское поселение,area_ТАО (Троицкий),area_Троицк,area_Филимонковское поселение,area_Щапово поселок,area_Щербинка,area_бул. Веласкеса,area_бул. Севильский,area_бул. Скандинавский,area_проезд Чечерский,area_просп. Магеллана,area_просп. Нововатутинский,area_просп. Прокшинский,area_р-н Академический,area_р-н Алексеевский,area_р-н Алтуфьевский,area_р-н Арбат,area_р-н Аэропорт,area_р-н Бабушкинский,area_р-н Басманный,area_р-н Беговой,area_р-н Бескудниковский,area_р-н Бибирево,area_р-н Бирюлево Восточное,area_р-н Бирюлево Западное,area_р-н Богородское,area_р-н Братеево,area_р-н Бутырский,area_р-н Вешняки,area_р-н Внуково,area_р-н Войковский,area_р-н Восточное Дегунино,area_р-н Восточное Измайлово,area_р-н Выхино-Жулебино,area_р-н Гагаринский,area_р-н Головинский,area_р-н Гольяново,area_р-н Даниловский,area_р-н Дмитровский,area_р-н Донской,area_р-н Дорогомилово,area_р-н Западное Дегунино,area_р-н Зюзино,area_р-н Зябликово,area_р-н Ивановское,area_р-н Измайлово,area_р-н Капотня,area_р-н Коньково,area_р-н Коптево,area_р-н Косино-Ухтомский,area_р-н Котловка,area_р-н Красносельский,area_р-н Крылатское,area_р-н Крюково,area_р-н Кузьминки,area_р-н Кунцево,area_р-н Куркино,area_р-н Левобережный,area_р-н Лефортово,area_р-н Лианозово,area_р-н Ломоносовский,area_р-н Лосиноостровский,area_р-н Люблино,area_р-н Марфино,area_р-н Марьина роща,area_р-н Марьино,area_р-н Матушкино,area_р-н Метрогородок,area_р-н Мещанский,area_р-н Митино,area_р-н Можайский,area_р-н Молжаниновский,area_р-н Москворечье-Сабурово,area_р-н Нагатино-Садовники,area_р-н Нагатинский затон,area_р-н Нагорный,area_р-н Некрасовка,area_р-н Нижегородский,area_р-н Ново-Переделкино,area_р-н Новогиреево,area_р-н Новокосино,area_р-н Обручевский,area_р-н Орехово-Борисово Северное,area_р-н Орехово-Борисово Южное,area_р-н Останкинский,area_р-н Отрадное,area_р-н Очаково-Матвеевское,area_р-н Перово,area_р-н Печатники,area_р-н Покровское-Стрешнево,area_р-н Преображенское,area_р-н Пресненский,area_р-н Проспект Вернадского,area_р-н Раменки,area_р-н Ростокино,area_р-н Рязанский,area_р-н Савеловский,area_р-н Савёлки,area_р-н Свиблово,area_р-н Северное Бутово,area_р-н Северное Измайлово,area_р-н Северное Медведково,area_р-н Северное Тушино,area_р-н Северный,area_р-н Силино,area_р-н Сокол,area_р-н Соколиная гора,area_р-н Сокольники,area_р-н Солнцево,area_р-н Старое Крюково,area_р-н Строгино,area_р-н Таганский,area_р-н Тверской,area_р-н Текстильщики,area_р-н Теплый Стан,area_р-н Тимирязевский,area_р-н Тропарево-Никулино,area_р-н Филевский парк,area_р-н Фили-Давыдково,area_р-н Хамовники,area_р-н Ховрино,area_р-н Хорошево-Мневники,area_р-н Хорошевский,area_р-н Царицыно,area_р-н Черемушки,area_р-н Чертаново Северное,area_р-н Чертаново Центральное,area_р-н Чертаново Южное,area_р-н Щукино,area_р-н Южное Бутово,area_р-н Южное Медведково,area_р-н Южное Тушино,area_р-н Южнопортовый,area_р-н Ярославский,area_р-н Ясенево,area_ул. 1-я Ватутинская,area_ул. 1-я Нововатутинская,area_ул. Аэростатная,area_ул. Большое Понизовье,area_ул. Генерала Пилипенко,area_ул. Гренадерская,area_ул. Кварцевая,area_ул. Лобановский Лес,area_ул. Малое Понизовье,area_ул. Медовая Долина,area_ул. Саларьевская,area_ул. Сальвадора Дали,area_ул. Татьянин Парк,area_ул. Трехполье,area_ул. Усадебный Парк,area_ул. Харлампиева,area_ш. Новомихайловское,area_ш. Остафьевское,area_ш. Рязановское,area_№ 4 квартал,rooms_1,rooms_2,rooms_3,rooms_4,rooms_студия,rent_jkh_включена (без счётчиков),rent_jkh_включена (счётчики включены),rent_prepayment_1 месяц,rent_prepayment_2 месяца,rent_prepayment_3 месяца,rent_term_несколько месяцев,rent_term_от года,rent_living_conditions_можно с детьми,rent_living_conditions_можно с детьми и животными,rent_living_conditions_можно с животными,"rent_living_conditions_ни с детьми, ни с животными",year_built_interval_1890-1917,year_built_interval_1917-1945,year_built_interval_1945-1970,year_built_interval_1970-1990,year_built_interval_1991-2025,year_built_interval_не попал,latitude,longitude,distance
470000,7.0,73.0,0.6833333333333333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,55.7622146,37.5606576,3.638872818425967
270000,13.0,68.0,0.5227272727272727,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,55.7622146,37.5606576,3.638872818425967
30000,9.0,40.0,0.3333333333333333,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,55.8454574,37.3670608,18.568264561609062
75000,13.0,60.0,0.375,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,55.705227,37.601639,5.710850011367745
29000,7.0,12.0,0.6111111111111112,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,55.7819165,37.5662996,4.332863124570616
550000,5.0,150.0,0.4285714285714285,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,55.7576777,37.6627881,2.830011348026225
90000,5.0,43.0,0.2916666666666667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,55.7288995,37.4673379,9.874099825003887
59900,9.0,29.2,0.7916666666666666,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,55.8454574,37.3670608,18.568264561609062
35000,4.0,36.7,0.3333333333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,55.8204298,37.6178834,7.188184604251307
295000,11.0,60.7,0.8571428571428571,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,55.707253,37.643517,5.6336841238997515
