okrug,raion,price,living_complex,title,rooms,metro_time,info_total_area,info_living_area,info_kitchen_area,info_floor,info_total_floors,info_year_built,rent_price_per_month,rent_jkh,rent_deposit,rent_commissions,rent_prepayment,rent_term,rent_living_conditions
ЦАО,р-н Пресненский,470000,ЖК «Capital Towers (Капитал Тауэрс)»,"Сдается 2-комн. квартира, 73 м²",2,7.0,73.0,,10.0,41,60,2023.0,470000,включена (счётчики включены),470 000 ₽,нет,1 месяц,от года,можно с детьми
ЦАО,р-н Пресненский,270000,ЖК «Пресня Сити»,"Сдается 3-комн. квартира, 68 м²",3,13.0,68.0,25.0,17.0,23,44,2018.0,270000,включена (без счётчиков),270 000 ₽,нет,1 месяц,от года,можно с детьми
СЗАО,р-н Митино,30000,,"Сдается 1-комн. квартира, 40 м²",1,9.0,40.0,20.0,10.0,3,9,1995.0,30000,включена (счётчики включены),30 000 ₽,нет,1 месяц,от года,
ЮАО,р-н Донской,75000,,"Сдается 2-комн. квартира, 60 м²",2,13.0,60.0,,,3,8,1963.0,75000,включена (без счётчиков),75 000 ₽,нет,1 месяц,от года,
САО,р-н Беговой,29000,ЖК «Царская площадь»,"Сдается апартаменты-студия, 12 м²",студия,7.0,12.0,6.0,2.0,11,18,2018.0,29000,включена (счётчики включены),9 000 ₽,нет,1 месяц,от года,
ЦАО,р-н Басманный,550000,ЖК «TriBeCa APARTMENTS (Трайбека Апартментс)»,"Сдаются 3-комн. апартаменты, 150 м²",3,5.0,150.0,60.0,50.0,3,7,2015.0,550000,включена (без счётчиков),550 000 ₽,нет,1 месяц,от года,можно с детьми
ЗАО,р-н Фили-Давыдково,90000,,"Сдается 1-комн. квартира, 43 м²",1,5.0,43.0,,,7,24,2005.0,90000,включена (без счётчиков),90 000 ₽,нет,1 месяц,от года,можно с детьми и животными
СЗАО,р-н Митино,59900,,"Сдается апартаменты-студия, 29,2 м²",студия,9.0,29.2,25.0,2.0,19,24,2015.0,59900,включена (счётчики включены),50 000 ₽,нет,1 месяц,несколько месяцев,
СВАО,р-н Останкинский,35000,,"Сдается 2-комн. квартира, 36,7 м²",2,4.0,36.7,22.4,7.3,3,9,1962.0,35000,включена (счётчики включены),20 000 ₽,нет,1 месяц,несколько месяцев,
ЮАО,р-н Даниловский,295000,ЖК «ЗИЛАРТ»,"Сдается 1-комн. квартира, 60,7 м²",1,11.0,60.7,40.0,15.0,12,14,2019.0,295000,включена (счётчики включены),295 000 ₽,нет,1 месяц,от года,можно с детьми и животными
ЦАО,р-н Таганский,95000,ЖК «на Калитниковской»,"Сдается 3-комн. квартира, 85 м²",3,13.0,85.0,60.0,15.0,3,17,2016.0,95000,включена (без счётчиков),100 000 ₽,нет,1 месяц,от года,можно с детьми и животными
НАО (Новомосковский),Десеновское поселение,34000,"ЖК «Новые Ватутинки, мкр. Центральный»","Сдается студия, 21,6 м²",студия,16.0,21.6,12.0,4.0,5,9,2024.0,34000,включена (без счётчиков),34 000 ₽,нет,1 месяц,от года,
ЮАО,р-н Даниловский,115000,ЖК «ЗИЛАРТ»,"Сдается 2-комн. квартира, 47 м²",2,9.0,47.0,35.0,10.0,14,20,2020.0,115000,включена (без счётчиков),100 000 ₽,нет,1 месяц,от года,можно с детьми и животными
ЮАО,р-н Даниловский,400000,ЖК «RIVERDALE APARTMENTS (Ривердейл Апартаментс)»,"Сдаются 2-комн. апартаменты, 135 м²",2,5.0,135.0,125.0,10.0,8,8,,400000,включена (без счётчиков),400 000 ₽,нет,1 месяц,от года,
НАО (Новомосковский),№ 4 квартал,25000,,"Сдается студия, 28 м²",студия,12.0,28.0,16.0,5.0,11,14,,25000,включена (счётчики включены),25 000 ₽,нет,1 месяц,от года,
НАО (Новомосковский),Московский поселение,68000,ЖК «Татьянин Парк»,"Сдается 1-комн. квартира, 42 м²",1,6.0,42.0,,,11,16,2015.0,68000,включена (без счётчиков),68 000 ₽,нет,1 месяц,от года,
СЗАО,р-н Покровское-Стрешнево,190000,ЖК «Зодиак»,"Сдается 2-комн. квартира, 90 м²",2,4.0,90.0,60.0,18.0,24,26,2010.0,190000,включена (без счётчиков),190 000 ₽,нет,1 месяц,от года,можно с детьми
ЮВАО,р-н Нижегородский,25000,ЖК «Profit (Профит)»,"Сдается 1-комн. квартира, 33 м²",1,12.0,33.0,15.0,12.0,14,33,2023.0,25000,включена (без счётчиков),20 000 ₽,нет,1 месяц,несколько месяцев,
ЮАО,р-н Даниловский,70000,,"Сдается студия, 31 м²",студия,14.0,31.0,20.0,,3,18,2023.0,70000,включена (счётчики включены),70 000 ₽,нет,1 месяц,от года,
ЮАО,р-н Даниловский,73000,ЖК «Квартал на набережной NOW»,"Сдается студия, 33 м²",студия,11.0,33.0,27.0,4.0,6,20,2022.0,73000,включена (счётчики включены),73 000 ₽,нет,1 месяц,от года,
ЮВАО,р-н Некрасовка,29999,ЖК «Некрасовка-Парк»,"Сдается 1-комн. квартира, 27 м²",1,5.0,27.0,10.0,5.0,1,19,2015.0,29999,включена (без счётчиков),29 999 ₽,нет,1 месяц,от года,
САО,р-н Хорошевский,350000,ЖК «Триумф-Палас»,"Сдается 3-комн. квартира, 155 м²",3,10.0,155.0,110.0,40.0,3,57,2006.0,350000,включена (без счётчиков),350 000 ₽,нет,1 месяц,от года,можно с детьми
ЗАО,р-н Очаково-Матвеевское,120000,ЖК «Большая Очаковская 2»,"Сдается 3-комн. квартира, 57 м²",3,12.0,57.0,32.0,21.0,29,32,2023.0,120000,включена (без счётчиков),120 000 ₽,нет,2 месяца,от года,можно с детьми
ЮЗАО,р-н Обручевский,105000,ЖК «Ever (Эвер)»,"Сдается 1-комн. квартира, 39 м²",1,7.0,39.0,20.0,14.0,13,34,2023.0,105000,включена (счётчики включены),нет,нет,1 месяц,от года,
ЮАО,р-н Москворечье-Сабурово,34000,,"Сдается студия, 14 м²",студия,16.0,14.0,10.0,2.0,1,5,1966.0,34000,включена (без счётчиков),34 000 ₽,нет,1 месяц,от года,
НАО (Новомосковский),Коммунарка поселок,99000,,"Сдается 3-комн. квартира, 57 м²",3,6.0,57.0,,18.0,10,16,,99000,включена (счётчики включены),99 000 ₽,нет,1 месяц,от года,можно с детьми
ЮВАО,р-н Некрасовка,65000,,"Сдается 2-комн. квартира, 55 м²",2,4.0,55.0,33.0,10.0,16,17,2010.0,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,можно с детьми
